name,brand,pack_value,pack_unit,is_multipack,variant,unit_price,parse_status
Lakme Forever Matte Compact (Natural Beige),Lakme,,,False,natural,,no_pack
Meister Wurst Pork Smoked Ham,Meister,,,False,,,no_pack
Paper Boat Swing Tender Coconut Water Drink &amp; Paper Boat Swing Zesty Pomegranate Juice Enriched With Vitamin D No Gmos,Paper Boat,,,False,,,no_pack
Kwality Fruit & Nut Muesli,Kwality,,,False,,,no_pack
Surili Jaljeera Shots Mouth Freshener with Tangy Taste Tin jar,Surili,,,False,,,no_pack
Streax Insta Shampoo Hair Colour For Women And Men- Dark Brown |100% Grey Coverage,Streax,,,False,,,no_pack
Milky Mist Cheese Slices & Milky Mist Cooking Unsalted Butter,Milky Mist,,,False,unsalted butter salted,,no_pack
Portronics Power Plate USB Extension Board (1.5 m - 4 Sockets and 1 USB Port),Portronics,,,False,,,no_pack
Godiva Caramel Lion of Belgium Milk Chocolate Bar,Godiva,,,False,chocolate,,no_pack
Nestle NAN PRO Stage 3 Follow-Up Formula (12-18M),Nestle,,,False,pro,,no_pack
Lay&#39;s Hot &#39;N&#39; Sweet Chilli Potato Chips 80g &amp; Lay&#39;s American Style Cream &amp; Onion Chips 80 g &amp; Lays Potato Chips ,Lays,80.0,g,False,,,ok
Solara Belmont Ceramic Fry Pan (Aluminium),Solara,,,False,mini,,no_pack
Dot & Key Tinted Sunscreen 02 Warm Ivory (SPF 50+ PA++++),Dot & Key,,,False,,,no_pack
Haldiram&#39;s Mini Samosa,Haldiram,,,False,mini,,no_pack
Tai Hua Stir Fry Sauce,Tai,,,False,,,no_pack
Gubb Blue 4 Way Pedicure Set for Dead Skin Removal,Gubb,,,False,,,no_pack
Super Slim White Rolling Paper - Stash Pro,,,,False,pro,,no_pack
Real Cheers Ginger Ale - Cocktail Mixer and Real Cheers Green Apple Mojito - Cocktail Mixer,Real,,,False,,,no_pack
Ricola Cranbery,Ricola,,,False,,,no_pack
"DesiDiya Universe Crystal Ball Night Light LED Lamp (2 inch with Wooden Base For Living Room, Bedroom Decoration)",DesiDiya,,,False,,,no_pack
"Decathlon Domyos Men Half-Sleeve Fitness T-Shirt (Black, XL)",Decathlon,,,False,,,no_pack
BBLUNT Intense Moisture Shampoo with Jojoba and Vitamin E,BBLUNT,,,False,,,no_pack
Minus Thirty Ice Cream Mini Malai Kulfi,Minus,,,False,mini,,no_pack
Portronics My Budyy K Laptop Stand (Grey),Portronics,,,False,,,no_pack
Plush Daily Panty Liner 100% Cotton | Non Period Days | 20 Pcs,Plush,20.0,count,False,,,ok
Silver Coin Besan,Silver,,,False,,,no_pack
Duracell AA 4 Alkaline Battery,Duracell,,,False,,,no_pack
Amul Gold Butterscotch Ice Cream Tub,Amul,,,False,butter,,no_pack
Nitya Kerla Samai,Nitya,,,False,,,no_pack
For LG Smart TV Magic Remote (Non Voice) (Black),For,,,False,,,no_pack
Lactima Edam Cheese Slices,Lactima,,,False,,,no_pack
"Zamia Cow Dung Manure (1kg, Natural Compost for Plant and Soil Health)1pack and Zamia Epsom Salt (1kg, Magnesium for Plant Growth)1pack",Zamia,1000.0,g,False,natural,,ok
"M-Seal Ezy Seal Sealant (Fill and Seal Gaps, Cracks &amp; Holes)",M-Seal,,,False,,,no_pack
