code,product_name,brands,quantity,categories,countries
0846203004878,Bakarwadi,Chitale,,"Food, Food Bakarwadi","Germany, India"
8901063092839,Good day 5rs,,,"Biscuits, Biskir",India
8901063014411,Vita Marie Gold,Britannia,,Biscuits,India
3948764032905,,,,,"India, United States"
8901491503051,West Indies' Hot 'n' Sweet Chilli flavor,Lay's,25g,Potato crisps,India
8902579001360,Frooti 125ml,Frooti,125 ml,"Fruit juice concentrates, Frooti-mango-drink",India
8901058000306,Maggi noodles masala,Nestlé,560 gm,Instant noodles,India
8902579002039,appy fizz,parle agro appy fizz,250ml,Carbonated fruit soft drink,India
8903754000062,Tata water 1ltr,Tata,1000ml,Drinking water,India
4897036693469,,,,Energy drinks,India
8902080504060,Packaged Drinking Water,"Aquafina is sold by PepsiCo, PepsiCo",1 l,Waters,"France, India"
89002940,Coconut oil,Parachute,100ml,"Coconut oils, Oil",India
8901725015275,Dark Fantasy Choco fills,"Sunfeast, Sunfeast is sold by ITC Limited",69g (6 packs x 11.5g),Biscuits,India
8901725005856,,,,62.8,India
8904004402612,,Haldiram's,,,India
8901764012914,Coca-Cola,The Coca-Cola Company,250 ml,"Colas, Carbonated soft drinks without fruit juice with sugar, Sweetened beverages",India
90162602,Red Bull Energy Drink,Red Bull,250 ml,"Sodas, Energy drinks, Sweetened beverages, Carbonated Sodas","Albania, Australia, Bulgaria, Egypt, France, Greece, India, Ireland, Morocco, Switzerland, Tunisia, United Kingdom, United States"
8901207025365,Honey,Dabur,250,Honeys,"France, India"
8902579203016,Packaged Drinking Water,"Bailey, Parle Agro",1 l,Mineral waters,India
3948764082405,Kinley 1ltr,,,Waters,India
8906010500870,BALAJI CREAM ONION,balaji,32 gm,"Potato crisps, Wafers","India, Indonesia"
3948764092206,Maaza,The Coca-Cola Company,600 ml,Sweetened beverages,India
8901725118921,tedha medha,bingo,75,Crisps,India
8901719135088,Monaco,Parle,,Appetizers,India
7622202324321,,Dairy Milk,,,"India, United Kingdom"
8901058903164,KitKat win gold,Nestlé,38.5 gm,"fr:Barre chocolatée biscuitée type KitKat, Sweet snacks candies",India
8901123001214,Lotte Choco Pie,Lotte,23g,"Confectioneries, Biscuits, Treat",India
8901063019188,Little Hearts,Brotannica,,Biscuits,India
8906010502973,Papdi gathiya,,,Pulses,India
8906010500047,masala masti,Balaji,15g,Potato crisps,India
8901719135729,Biscuit,Parle G,,"Biscuit with reduced sugar, Bis",India
8901764012273,Coca Cola Coke Brand 750ml,Coca-Cola,5,"Colas, Sweetened beverages",India
8901764175091,Fruit drink,Maaza,135ml,Confectioneries,India
3948764012914,Cocacola zero,Cocacola,250 ml,"Diet cola soft drink, Sweetened beverages",India
8906017290033,Bisleri,BISLERI,500ml,Natural mineral waters,India
8901088068734,Saffola Masala Oats - Classic Masala,Saffola,38 g,"Rolled oats, Oat",India
8901764042270,Thumbs Up 750ml,Coca Cola Company,24,"Sodas, Sweetened beverages","India, United States"
8901491101813,Lays american cream onion,"Lay's, PepsiCo",55 g,Flavoured potato crisps,India
8901063139213,Brit bourbon 150g (sys),Britannia,,Chocolate biscuits,India
8901063014299,Britannia Vita Marie Gold Biscuits,Britannia Industries Ltd.,248 g,"Biscuits, Breakfast cereals",India
4897036691427,Monster Energy Drink 350ml,"Monster, Monster Energy",5,"Energy drinks, Sweetened beverages",India
8906017290064,Packaged Drinking Water,Bisleri,2L,"Natural mineral waters, Packaged water",India
8908003872315,Poha,,,Rices,"India, United Kingdom"
8901719135255,,,,Biscuits,India
8901491503020,Lays India's Magic Masala,Lay's,26.5g,Flavoured potato crisps,India
8901262070546,Chocominis,Amul,250g,"Chocolate Sculptures, Milk chocolate molds",India
